,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,
吉林,全国卷2,全国卷2,新课标卷2,新课标卷2,新课标卷1,新课标卷,新课标卷,新课标卷,全国卷2,全国卷2,全国卷2,全国卷2,全国卷2,全国卷2,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
江苏,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,江苏卷,全国卷,江苏卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
江西,全国卷1,全国卷1,新课标卷1,江西卷,江西卷,江西卷,江西卷,江西卷,江西卷,江西卷,江西卷,江西卷,江西卷,广东卷,全国卷,全国卷,江西卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
辽宁,全国卷2,全国卷2,新课标卷2,辽宁卷,辽宁卷,辽宁卷,辽宁卷,辽宁卷,辽宁卷,辽宁卷,辽宁卷,辽宁卷,广东卷,广东卷,辽宁卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
内蒙古,全国卷2,全国卷2,新课标卷2,新课标卷2,新课标卷1,新课标卷,全国卷,全国卷2,全国卷2,全国卷2,全国卷2,全国卷3,全国卷3,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
宁夏,全国卷2,全国卷2,新课标卷2,新课标卷2,新课标卷1,新课标卷,新课标卷,新课标卷,宁夏卷,全国卷3,海南宁夏卷,全国卷3,全国卷3,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
青海,全国卷2,全国卷2,新课标卷2,新课标卷2,新课标卷2,全国卷,全国卷,全国卷2,全国卷2,全国卷2,全国卷2,全国卷4,全国卷4,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
山东,山东卷,山东卷,山东卷,山东卷,山东卷,山东卷,山东卷,山东卷,山东卷,山东卷,山东卷,全国卷5,全国卷5,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
山西,全国卷1,全国卷1,新课标卷1,新课标卷1,新课标卷1,新课标卷,新课标卷,全国卷1,全国卷1,全国卷1,全国卷1,全国卷6,全国卷1,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
 陕西,全国卷2,全国卷2,新课标卷1,新课标卷1,陕西卷,陕西卷,新课标卷,新课标卷,陕西卷,全国卷1,全国卷1,全国卷7,全国卷3,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
上海,上海卷,上海卷,上海卷,上海卷,上海卷,上海卷,上海卷,上海卷,上海卷,上海卷,上海卷,全国卷8,上海卷,广东卷,上海卷,上海卷,上海卷,上海卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
 四川,全国卷3,全国卷3,四川卷,四川卷,四川卷,四川卷,四川卷,四川卷,四川卷,四川卷,四川卷,全国卷9,全国卷3,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
 天津,天津卷,天津卷,天津卷,天津卷,天津卷,天津卷,天津卷,天津卷,天津卷,天津卷,天津卷,全国卷10,天津卷,广东卷,天津卷,天津卷,天津卷,天津卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
 西藏,全国卷2,全国卷2,新课标卷2,新课标卷2,新课标卷2,全国卷,全国卷,全国卷2,全国卷2,全国卷2,全国卷2,全国卷11,天津卷,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
 新疆,全国卷2,全国卷2,新课标卷2,新课标卷2,新课标卷1,新课标卷,新课标卷,全国卷2,全国卷2,全国卷2,全国卷2,全国卷3,全国卷3,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
云南,全国卷3,全国卷3,新课标卷2,新课标卷2,新课标卷1,新课标卷,全国卷,全国卷2,全国卷2,全国卷2,全国卷2,全国卷3,全国卷3,广东卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
 浙江,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,浙江卷,全国卷,全国卷,浙江卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,全国卷,
